"(Excl. Tax)","(Bez DPH)"
"(Incl. Tax)","(s DPH)"
"* Required Fields","* Povinný údaj"
"Add New Address","Přidat novou adresu"
"Add New Condition","Přidat novou podmínku"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wishlist","Přidat k oblíbeným"
"Address","Adresa"
"Address %s of %s","Adresa <span class=""shipment-count"">%s</span> z %s"
"After Adding a Product Redirect to Shopping Cart","Po přidání produktu přejít do košíku"
"Allow Guest Checkout","Povolit nákup návštěvníkům"
"Already registered?","Už máte registraci?"
"An error occurred in the process of payment","Vyskytla se chyba při zpracování platby"
"Apply","Použít"
"Apply Coupon","Použít kupón"
"Are you sure you would like to remove this item from the shopping cart?","Jste si jisti, že chcete odebrat tuto položku z košíku?"
"Back","Zpět"
"Back to Billing Information","Zpět na fakturační údaje"
"Back to Select Addresses","Zpět na výběr adres"
"Back to Shipping Information","Zpět na doručovací údaje"
"Back to Shopping Cart","Zpět na nákupní košík"
"Based on your selection, you may be interested in the following items:","Na základě Vašeho výběru by Vás mohly zajímat následující položky:"
"Billing Address","Fakturační adresa"
"Billing Information","Fakturační údaje"
"Billing Information - %s","Platební údaje - %s"
"Cancel","Zrušit"
"Cancel Coupon","Zrušit kupón"
"Cannot process the item.","Položka nelze zpracovat."
"Card Verification Number Visual Reference","Nápověda ke kontrolnímu číslu karty"
"Cart Subtotal:","Celkem v košíku:"
"Change","Změnit"
"Change Billing Address","Změnit fakturační adresu"
"Checkbox Text","Text zaškrtávacího políčka"
"Checkout","Pokladna"
"Checkout Conditions","Podmínky pokladny"
"Checkout Options","Možnosti pokladny"
"Checkout Terms and Conditions","Obchodní podmínky pokladny"
"Checkout as Guest","Zaplatit jako host"
"Checkout as a Guest or Register","Objednat jako host nebo registrovat"
"Checkout with Multiple Addresses","Zaplatit s více adresami"
"City","Město"
"Clear Shopping Cart","Vyprázdnit košík"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Stiskněte <a href=""%s"" onclick=""this.target='_blank'"">zde vytisknete</a> kopii potvrzení Vaší objednánvky."
"Close","Zavřít‏"
"Company","Společnost"
"Condition Name","Název podmínek"
"Configurable Product Image","Obrázek konfigurovatelného produktu"
"Confirm Password","Potvrdit heslo"
"Content","Obsah"
"Content Height","Výška obsahu"
"Content Height (css)","Výška obsahu (CSS)"
"Continue","Pokračovat"
"Continue Shopping","Pokračovat v nákupu"
"Continue to Billing Information","Pokračovat na fakturační údaje"
"Continue to Review Your Order","Pokračovat ke kontrole objednávky"
"Continue to Shipping Information","Pokračovat k dodacím údajům"
"Country","Země"
"Coupon code ""%s"" is not valid.","""%s"" kód kupónu není správný."
"Create Billing Address","Vytvořit fakturační adresu"
"Create Shipping Address","Vytvořit doručovací adresu"
"Customer Address is not valid.","Adresa zákazníka není platná."
"Customer Information","Informace o zákazníkovi"
"Data saving problem","Problém při uložení dat"
"Default Billing","Výchozí fakturace"
"Default Shipping","Výchozí doprava"
"Delete Condition","Odstranit podmínky"
"Details","Podrobnosti"
"Disabled","Vypnuto"
"Discount Codes","Slevové kódy"
"Display Cart Summary","Zobrazit souhrn košíku"
"Display Shopping Cart Sidebar","Zobrazit postranní lištu košíku"
"Display item quantities","Zobrazit množství položky"
"Display number of items in cart","Zobrazený počet produktů v košíku"
"Easy access to your order history and status","Snadný přístup k historii a stavu Vašich objednávek"
"Edit","Upravit"
"Edit Address","Upravit adresu"
"Edit Billing Address","Upravit fakturační adresu"
"Edit Condition","Upravit podmínky"
"Edit Items","Upravit položky"
"Edit Shipping Address","Upravit doručovací adresu"
"Edit Terms and Conditions","Upravit obchodní podmínky"
"Edit Your Cart","Upravit košík"
"Edit item","Upravit položku"
"Edit item parameters","Upravit parametry"
"Email Address","E-mailová adresa"
"Enable Onepage Checkout","Zapnout jednostránkovou pokladnu"
"Enable Terms and Conditions","Zapnout obchodní podmínky"
"Enabled","Zapnuto"
"Enter a New Address","Zadejte novou adresu"
"Enter your coupon code if you have one.","Vložte kód kupónu pokud ho vlastníte."
"Enter your destination to get a shipping estimate.","Pro odhad poštovného zadejte místo určení."
"Estimate Shipping and Tax","Odhad přepravného"
"Excl. Tax","bez DPH"
"Fast and easy check out","Rychle a snadné placení"
"Forgot an Item?","Zapoměl(a) jste na nějaký produkt?"
"Forgot your password?","Obnova hesla"
"Get a Quote","Poptat se"
"Gift Message","Darovací vzkaz"
"Grand Total:","Celkem k úhradě:"
"Grouped Product Image","Obrázek skupinového produktu"
"Incl. Tax","s DPH"
"Invalid email address ""%s""","Chybná emailová adresa ""%s"""
"Invalid shipping method.","Chybný způsob dodání."
"Items","Položky"
"Load customer quote error","Chyba při nahrávání požadavku zákazníka"
"Loading next step...","Nahrávám další krok..."
"Login","Přihlášení"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximální množství povolené pro doručení na více adres je %s"
"Move","Přesunout"
"Move to Wishlist","Přesunout do oblíbených"
"My Cart","Můj košík"
"My Cart (%s item)","Košík (položek %s)"
"My Cart (%s items)","Košík (položek: %s)"
"My Cart Link","Odkaz na můj košík"
"New Address","Nová adresa"
"New Condition","Nové podmínky"
"New Terms and Conditions","Nové obchodní podmínky"
"No Payment Methods","Žádné způsoby platby"
"One Page Checkout","Jednostránková platba"
"Order #","Objednávka č."
"Order Review","Souhrn objednávky"
"Order Success","Objednávka úspěšně odeslána"
"Password","Heslo"
"Payment Failed Email Reciever","Příjemce emailu ""platba se nezdařila"""
"Payment Failed Email Sender","Odesilatel e-mailu nezdařené platby"
"Payment Failed Emails","E-maily nezdařené platby"
"Payment Failed Template","Šablona e-mailu nezdařené platby"
"Payment Information","Platební údaje"
"Payment Method","Způsob platby"
"Payment method is not defined","Platební metoda není definována"
"Place Order","Objednat"
"Please agree to all Terms and Conditions before placing the order.","Před dokončením objednávky je třeba odsouhlasit obchodní podmínky."
"Please agree to all Terms and Conditions before placing the orders.","Prosím potvrďte podmínky před umístěním objednávky."
"Please agree to all the terms and conditions before placing the order.","Před objednáním musíte souhlasit s obchodními podmínkami."
"Please choose to register or to checkout as a guest","Prosím zaregistrujte se, nebo pokračujte jako host"
"Please log in below:","Prosím přihlaste se níže:"
"Please select region, state or province","Zvolte kraj / region prosím"
"Please select shipping address for applicable items","Vyberte prosím doručovací adresu pro použitelné položky"
"Please select shipping methods for all addresses","Vyberte prosím způsob dodání pro všechny adresy"
"Please specify payment method.","Vyberte prosím způsob platby."
"Please specify shipping method.","Vyberte prosím způsob doručení."
"Price","Cena"
"Proceed to Checkout","Dokončit objednávku"
"Product","Produkt"
"Product Name","Název produktu"
"Products","Produkty"
"Qty","Množství"
"Qty:","Množství:"
"Quantity","Množství"
"Quote Lifetime (days)","Požadovaná platnost (dny)"
"Recently added item(s)","Nedávno přidané položky"
"Register","Registrovat"
"Register and save time!","Registrujte se a ušetřete čas!"
"Register to Create an Account","Vytvořit účet"
"Register with us for future convenience:","Registrace přináší mnoho výhod:"
"Remove Item","Odebrat položku"
"Remove This Item","Odstranit tuto položku"
"Remove item","Odebrat položku"
"Review Order","Souhrn objednávky"
"Review Order - %s","Recenze objednávky - %s"
"SKU","Kód"
"Sales","Prodej"
"Save Condition","Uložit podmínky"
"Save in address book","Uložit do adresáře"
"See price before order confirmation.","Cenu uvidíte před odesláním objednávky."
"Select Address","Vyberte adresu"
"Select Addresses","Zvolte adresy"
"Select Shipping Method","Zvolte způsob přepravy"
"Select State/Province...","Vyberte stát/provincii..."
"Select a billing address from your address book or enter a new address.","Vyberte z adresáře fakturační adresu nebo <a href=""#"" onclick=""billing.newAddress(true); return false;"">zadejte novou</a>."
"Select a shipping address from your address book or enter a new address.","Vyberte doručovací adresu z adresáře nebo zadejte novou."
"Send Payment Failed Email Copy Method","Způsob kopie e-mailu o neúspěšné platbě"
"Send Payment Failed Email Copy To","Zaslat kopii e-mailu neúspěšné platby na"
"Send To","Odeslat na"
"Separate by "","".","Oddělené "",""."
"Ship to Multiple Addresses","Doručit na více adres"
"Ship to different address","Zaslat na jinou adresu"
"Ship to this address","Zaslat na tuto adresu"
"Shipping Address","Doručovací adresa"
"Shipping Information","Informace o dopravě"
"Shipping Method","Způsob dopravy"
"Shipping Methods","Způsoby přepravy"
"Shipping To","Místo doručení"
"Shipping method has not been selected yet","Ještě jste nevybrali způsob dodání"
"Shopping Cart","Nákupní košík"
"Shopping Cart Sidebar","Postranní lišta košíku"
"Shopping Cart is Empty","Nákupní košík je prázdný"
"Show Content as","Zobrazit obsah jako"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Omlouváme se, ale nákup hostům není povolen. Zkuste se zaregistrovat, nebo to zkuste později případně kontaktujte provozovatele obchodu."
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"State/Province","Kraj / region"
"Status","Stav"
"Store View","Zobrazení obchodu"
"Street Address","Ulice"
"Submitting order information...","Odesílám objednávku..."
"Subtotal","Mezisoučet"
"Telephone","Telefon"
"Terms and Conditions","Obchodní podmínky"
"Terms and Conditions Information","Nastavení obchodních podmínek"
"Terms and conditions","Pravidla a podmínky"
"Thank you for your purchase!","Děkujeme vám za objednávku!"
"The product does not exist.","Tento produkt neexistuje."
"There was an error processing your order. Please contact us or try again later.","Chyba při zpracování objednávky. Prosím zkuste to znovu později, nebo nás kontaktujte."
"This condition no longer exists.","Tyto podmínky již neexistují."
"Total","Celkem"
"Total for this address","Celkem na tuto adresu"
"Unit Price","Cena za kus"
"Update","Aktualizovat"
"Update Cart","Aktualizovat košík"
"Update Qty &amp; Addresses","Upravit množství &amp; adresy"
"Update Shopping Cart","Aktualizovat košík"
"Update Total","Aktualizovat součet"
"Use Billing Address","Použít fakturační adresu"
"VAT Number","DIČ"
"View Shopping Cart","Zobrazit nákupní košík"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zpracováváme Vaší objednávku a již brzy obdržíte e-mail s jejími detaily.<br/>Jakmile bude odeslána, dostanete další e-mail s odkazem na sledování zásilky."
"What's this?","Co to znamená?"
"You have no items in your shopping cart.","Košík neobsahuje žádné položky."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete e-mail s potvrzením objednávky včetně jejích detailů a odkazu na sledování jejího průběhu."
"Your Checkout Progress","Postup platby"
"Your order number is ","Číslo Vaší objednávky je "
"Zip/Postal Code","PSČ"
"or","nebo"