"1 star","1 seren"
"2 stars","2 seren"
"3 stars","3 seren"
"4 stars","4 seren"
"5 stars","5 seren"
"Add New Rating","Ychwanegu Cyfraddiad Newydd"
"Default Value","Gwerth Gwreiddiol"
"Delete Rating","Dileu Cyfraddiad"
"Edit Rating","Golygu Cyfraddiad"
"New Rating","Cyfraddiad Newydd"
"Option Label","Dewis Label"
"Option Title","Dewis Teitl"
"Option Title:","Dewis Teitl:"
"Rating Information","Gwybodaeth Cyfraddiad"
"Rating Name","Enw Cyfraddiad"
"Rating Options","Dewisiadau Cyfraddiad"
"Rating Title","Teitl Cyfraddiad"
"Rating isn't Available","Cyfraddiad ddim ar gael"
"Rating with the same title","Cyfraddiadau gyda theitl yr un fath"
"Save Rating","Arbed Cyfraddiad"