"* Required Fields","* Απαιτούμενα πεδία"
"--Please Select--","--Παρακαλώ Επιλέξτε--"
"<label>Make Check payable to:</label> %s","<label>Το Τσεκ να πληρωθεί στο(η):</label> %s"
"Automatically Invoice All Items","Αυτόματη Τιμολόγιση όλων των Στοιχείων"
"Bank Transfer Payment","Πληρωμή σε τραπεζικό λογαριασμό"
"Card Verification Number","Αριθμός Επικύρωσης Κάρτας"
"Cash On Delivery Payment","Πληρωμή με αντικαταβολή"
"Check / Money Order","Επιταγή / Ταχυδρομική Επιταγή"
"Credit Card Number","Αριθμός πιστωτικής κάρτας"
"Credit Card Number: xxxx-%s","Αριθμός Πιστωτικής Κάρτας: xxxx-%s"
"Credit Card Type","Είδος Πιστωτικής Κάρτας"
"Credit Card Type: %s","Τύπος Πιστωτικής Κάρτας: %s"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit card type is not allowed for this payment method.","Ο τύπος πιστωτικής κάρτας δεν επιτρέπεται για αυτήν τη μέθοδο πληρωμής."
"Currency","Νόμισμα"
"Day","Ημέρα"
"Debug Mode","Λειτουργία Αποσφαλμάτωσης"
"Enabled","Ενεργό"
"Expiration Date","Ημερομηνία λήξης"
"Expiration Date: %s/%s","Ημερομηνία Λήξης: %s/%s"
"Incorrect credit card expiration date.","Εσφαλμένη ημερομηνία λήξης πιστωτικής κάρτας."
"Instructions","Οδηγίες"
"Invalid Credit Card Number","Μη έγκυρος αριθμός Πιστωτικής Κάρτας"
"Issue Number","Αριθμός Έκδοσης"
"Make Check Payable to","Κάντε την επιταγή πληρωτέα σε"
"Make Check payable to:","Κάντε την επιταγή πληρωτέα σε:"
"Make Check payable to: %s","Το Τσεκ να πληρωθεί στο(η): %s"
"Maximum Order Total","Μέγιστο Σύνολο Παραγγελίας"
"Merchant ID","ID Εμπόρου"
"Minimum Order Total","Ελάχιστο Σύνολο Παραγγελίας"
"Month","Μήνας"
"N/A","Μ/Δ Μή Διαθέσιμο"
"Name on Card","Όνομα στη Κάρτα"
"Name on the Card: %s","Όνομα στα Κάρτα: %s"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
"Password","Κωδικός πρόσβασης"
"Payment Method","Μέθοδος Πληρωμής"
"Payment Methods","Τρόποι Πληρωμής"
"Payment Services","Υπηρεσίες Πληρωμής"
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Please enter a valid credit card verification number.","Παρακαλώ εισάγετε έναν έγκυρο αριθμό επικύρωσης πιστωτικής κάρτας."
"Purchase Order","Παραγγελία αγοράς"
"Purchase Order Number","Αριθμός Παραγγελίας Αγοράς"
"Purchase Order Number: %s","Αριθμός Εντολής Αγοράς: %s"
"Selected payment type is not allowed for billing country.","Ο επιλεγμένος τύπος πληρωμής δεν επιτρέπεται για τιμολόγηση σε αυτήν την χώρα."
"Send Check to","Αποστολή Επιταγής σε"
"Send Check to:","Αποστολή Επιταγής σε:"
"Shipping Amount","Ποσό Μεταφορικών"
"Sort Order","Σειρά Ταξινόμησης"
"Start Date","Ημερομηνία έναρξης"
"Switch/Solo/Maestro Issue Number","Αριθμός Έκδοσης Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Μόνο"
"Switch/Solo/Maestro Start Date","Ημερομηνία έναρξης Switch/Solo/Maestro"
"Tax Amount","Ποσό του φόρου"
"Test Mode","Δοκιμαστική Λειτουργία"
"The payment review action is unavailable.","Το αξιολόγηση πληρωμής δεν είναι διαθέσιμη."
"The requested Payment Method is not available.","Η απαιτούμενη μέθοδος πληρωμής δεν είναι διαθέσιμη."
"Title","Τίτλος"
"Unable to save Billing Agreement:","Δεν είναι δυνατή η αποθήκευση Συμφωνίας Χρέωσης:"
"What is this?","Τι είναι αυτό;"
"Year","Έτος"
"Zero Subtotal Checkout","Αγορά με Μηδενικό Μερικό Σύνολο"