"-- Please Select --","-- Vali --"
"Actions","Toimingud"
"All","Kõik"
"All Product Types","Kõik tootetüübid"
"Apply","Rakenda"
"Assign to Store Views","Määra poevaadetesse"
"Big Image","Suur pilt"
"CMS","Sisuhaldus"
"Categories","Kategooriad"
"Choose...","Vali..."
"Close","Sulge"
"Continue","Jätka"
"Delete","Kustuta"
"Export to:","Ekspordi:"
"Images","Pildid"
"Insert Widget","Vidina lisamine"
"Next page","Järgmine leht"
"Previous page","Eelmine leht"
"Products","Tooted"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Select All","Vali kõik"
"Select Visible","Vali nähtavad"
"Settings","Seaded"
"Sort Order","Sorteerimise järjekord"
"Template","Mall"
"The information in this tab has been changed.","Selle vahekaardi informatsioon on muutunud."
"Thumbnail","Pisipilt"
"Type","Tüüp"
"Unselect All","Eemalda valikud"
"Unselect Visible","Tühista nähtavad"
"View","Kuva"
"Widget Insertion","Vidina lisamine"
"per page","lehe kohta"