"# of Use","Nb d'utilisations"
"%s Item(s)","%s article(s)"
"(Copy data from: %s)","(Copier les données depuis: %s)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Faites un choix --"
"A group with the same name already exists.","Il existe déjà un groupe portant ce nom."
"A name is required","Un nom est requis"
"A product type is not defined for the indexer.","Aucun type de produit n'est défini pour l'indexer."
"ALL GROUPS","TOUS LES GROUPES"
"Actual Price","Prix ​​actuel"
"Add","Ajouter"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement de design"
"Add Group","Ajouter un groupe"
"Add New","Ajouter"
"Add New Attribute","Ajouter un attribut"
"Add New Attribute Set","Ajouter un nouveau jeu d'attributs"
"Add New Group","Ajouter un nouveau groupe"
"Add New Images","Ajouter de nouvelles images"
"Add New Option","Ajouter une option"
"Add New Row","Ajouter une ligne"
"Add New Search Term","Ajouter un terme de recherche"
"Add New Set","Ajouter un nouveau groupe"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter le produit aux sites web"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un niveau"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'achats"
"Additional Information","Informations complémentaires"
"All","Tous"
"All Product Types","Tous les types de produits"
"All Websites","Tous les sites web"
"All products","Tous les produits"
"All products - recently added products, New products - products marked as new","Tous les produits - produits ajoutés récemment, nouveaux produits - produits configurés comme nouveaux"
"Allow All Products per Page","Autoriser tous les produits par page"
"Amount","Montant"
"Anchor Custom Text","Présenter un texte personnalisé"
"Anchor Custom Title","Présenter un titre personnalisé"
"Apply To","S'applique à"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Êtes-vous sûr(e) de vouloir supprimer cette catégorie ?"
"Are you sure you would like to remove this item from the compare products?","Etes-vous certains de vouloir supprimer cet article de la comparaison des produits?"
"Are you sure?","Êtes-vous sûr(e) ?"
"As low as:","Aussi bas que :"
"Assign","Assigner"
"Associated Products","Produits associés"
"Attrib. Set Name","Nom du groupe d'attributs"
"Attribute Information","Informations attributs"
"Attribute Model","Modèle d'attribut"
"Attribute Name:","Nom de l'attribut:"
"Attribute Set","Jeu d'attributs"
"Attribute Sets","Jeux d'attributs"
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Autogenerate","Générer automatiquement"
"Availability:","Disponibilité :"
"Back","Retour"
"Backend Model","Modèle pour le back office"
"Backend Table","Table de l'administration"
"Backend Table Title","Titre de table de l'administration"
"Backorders","Commande en rupture de stock"
"Based On","Basé sur"
"Before Order Confirmation","Avant la confirmation de commande"
"Best Value","Meilleure valeur"
"Block after Info Column","Bloc après la colonne d'information"
"Bottom/Left","En bas à gauche"
"Bottom/Right","En bas à droite"
"Browse By","Consulter par"
"Bundle Items","Articles packagés"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un catalogue type Liste déroulante"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Cancel","Annuler"
"Cart Item Attribute","Attribut d'article panier"
"Catalog","Catalogue"
"Catalog Category Link","Lien vers les catégories de catalogue"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"Catalog Price Scope","Portée des prix catalogue"
"Catalog Product Link","Lien produit catalogue"
"Catalog, Search","Catalogue, Recherche"
"Categories","Catégories"
"Categories Sitemap","Plan de site des catégories"
"Category","Catégorie"
"Category Data","Données de catégorie"
"Category Flat Data","Données fixes de catégorie"
"Category Link Block Template","Gabarit du bloc lien catégorie"
"Category Link Inline Template","Gabarit inline de lien catégorie"
"Category Products","Produits de la catégorie"
"Category Top Navigation","Navigation dans les catégories"
"Category URL Suffix","Suffixe d'URL des catégories"
"Category move error","Erreur de déplacement de catégorie"
"Center","Centrer"
"Change","Modifier"
"Change status","Changer un statut"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"Choose an Option...","Choisissez une option..."
"Clear All","Tout supprimer"
"Clear Price","Effacer le prix"
"Click for price","Cliquez pour afficher le prix"
"Close Window","Fermer la fenêtre"
"Collapse All","Tout réduire"
"Comma-separated.","Séparées par des virgules."
"Comparable on Front-end","Comparable sur la partie publique"
"Compare","Comparer"
"Compare Products","Comparer des produits"
"Conditions Combination","Combinaison de conditions"
"Configurable Product","Produit configurable"
"Configurable Product Settings","Paramètres produit configurable"
"Configure Product","Configurer le produit"
"Continue","Continuer"
"Copy From Configurable","Copier à partir d'un configurable"
"Country/State","Pays / État"
"Create","Créer"
"Create Empty","Créer vide"
"Create Permanent Redirect for URLs if URL Key Changed","Créer une redirection permanente pour les URLs si la clé d'URL change"
"Create Permanent Redirect for old URL","Créer des redirections permanentes pour les anciennes URLs."
"Create Product Settings","Créer des attributs produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Cross-sells","Ventes croisées"
"Custom Design","Design personnalisé"
"Custom Options","Options personnalisables"
"Customer Group","Groupe de clients"
"Customers Reviews","Avis des clients"
"Customers Tagged Product","Clients ayant libellé ce produit"
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Date Fields Order","Ordre des champs de date"
"Date Subscribed","Date d'abonnement"
"Datetime","Date et heure"
"Decimal","Décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Default ""What's This"" Text Message","Texte par défaut du message ""Qu’est-ce que c'est"""
"Default Popup Text Message","Texte du message de popup par défaut"
"Default Price","Prix par défaut"
"Default Price Navigation Step","Tranche de prix par défaut"
"Default Qty","Qté par défaut"
"Default Values","Valeurs par défaut"
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer le groupe d'attribut"
"Delete Category","Supprimer catégorie"
"Delete Option","Supprimer cette option"
"Delete Row","Supprimer la ligne"
"Delete Search","Supprimer la recherche"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Delete Tier","Effacer le palier"
"Design","Conception"
"Details","Détails"
"Disabled","Désactivé"
"Disallowed file type.","Type de fichier interdit."
"Display Actual Price","Afficher les vrais prix"
"Display Page Control","Contrôle de l'affichage de la page"
"Display Price Interval as One Price","Afficher l'intervale de prix en un seul prix"
"Display Product Count","Afficher le nombre de produits"
"Display Type","Type d'affichage"
"Display in Suggested Terms","Afficher dans les termes suggérés"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Downloadable Information","Informations téléchargements"
"Duplicate","Dupliquer"
"Duplicate amount found.","Montant en double."
"Duplicate website tier price customer group and quantity.","Dupliquer le groupe client et la quantité du prix par paliers du site web"
"Edit","Éditer"
"Edit Attribute Set '%s'","Éditer le jeu d'attributs '%s'"
"Edit Product Attribute","Éditer l'attribut produit"
"Edit Product Attribute ""%s""","Éditer l'attribut produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Éditer la recherche '%s'"
"Email","Courriel"
"Email to a Friend","Envoyer à un ami"
"Empty","Vide"
"Enable MAP","Activer le prix minimum affiché"
"Enable Qty Increments","Activer les incréments de quantités"
"Enabled","Activé"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option: %s"
"Exclude","Exclure"
"Expand All","Tout développer"
"Failed","Échec"
"Failed to move file: %s","Erreur lors du déplacement du fichier : %s"
"Feature Products","Produits sélectionnés"
"Filter","Filtre"
"Filterable (no results)","Filtrable (pas de résultats)"
"Filterable (with results)","Filtrable (avec résultats)"
"First Name","Prénom"
"Fixed","Fixé"
"For the last time placed.","Lors de la dernière requête."
"Frontend","Partie publique"
"Frontend Model","Modèle du front office"
"Frontend Properties","Propriétés de la partie publique"
"Gallery","Galerie"
"General Information","Informations générales"
"Globally Editable","Éditable globalement"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Grouped Product","Produit groupé"
"Groups","Groupes"
"Home","Accueil"
"ID","Identifiant"
"Image type and information need to be specified for each store view.","Le type et les information d'image doivent être spécifié pour chaque vue magasin."
"In Cart","Dans le panier"
"In Stock","En stock"
"In stock","En stock"
"Incl. Tax","TTC"
"Index product prices","Index des tarifs produit"
"Indexed category/products association","Index des associations catégorie/produits"
"Input Type","Type de saisie"
"Integer","Entier"
"Interval Division Limit","Limite de division d'intervalle"
"Invalid store specified","Magasin spécifié non valide"
"Inventory","Inventaire"
"Is Default","Est par défaut"
"Is Required","Obligatoire"
"Items %s to %s of %s total","Total des articles de <strong>%s</strong> à <strong>%s</strong> sur <strong>%s</strong>"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Label","Libellé"
"Last Name","Nom"
"Last Notification","Dernière notification"
"Layered Navigation","Navigation par filtres"
"Learn More","En savoir plus"
"Line %d, Email: %s","Ligne %d, Courriel : %s"
"Line %d, SKU: %s","Ligne %d, SKU : %s"
"Link to a Specified Category","Lien vers une catégorie spécifique"
"Link to a Specified Product","Lien vers un produit spécifique"
"List","Liste"
"List Mode","Mode d'affichage"
"List of Products that are set as New","Liste des produits configurés comme ""Nouveaux"""
"Manage Attribute Sets","Gérer les jeux d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Catalog Categories","Gérer les catégories du catalogue"
"Manage Categories","Gérer les catégories"
"Manage Label / Options","Gérer les labels/les options"
"Manage Product Attributes","Gérer les attributs produit"
"Manage Product Sets","Gérer les groupes de produits"
"Manage Stock","Gérer les stocks"
"Manage Titles (Size, Color, etc.)","Gérer les titres (taille, couleur, etc.)"
"Max Characters","Nombre maxi de caractères"
"Maximal Depth","Profondeur maxi"
"Maximum Image Size","Taille d'image maximum"
"Maximum Number of Price Intervals","Nombre maxi d'intervalles de prix"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Maximum image height","Hauteur maximum d'image"
"Maximum image width","Largeur maximum d'image"
"Maximum number of characters:","Nombre maxi de caractères :"
"Maximum number of price intervals is 100","Le nombre maxi d'intervalles de prix est 100"
"Media Image","Image"
"Minimum Advertised Price","Prix ​​minimum affiché"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Minimum Qty for Item's Status to be Out of Stock","Qté min pour qu'un article soit considéré en rupture de stock"
"More Views","Plus de vues"
"Move","Déplacer"
"Must be in the allowed values list.","Doit être dans la liste des valeurs autorisées."
"My Account","Mon compte"
"Name","Nom"
"New Product","Nouveau produit"
"New Product Attribute","Nouvel attribut produit"
"New Products","Nouveaux produits"
"New Products Grid Template","Gabarit des nouveaux produits sous forme de grille"
"New Products List Template","Gabarit des nouveaux produits sous forme de liste"
"New Search","Nouvelle recherche"
"New Set Name","Nouveau nom"
"New products","Nouveaux produits"
"Next","Suivant"
"No","Non"
"No image","Pas d'image"
"No layout updates","Pas de modification de l'agencement"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"None","Aucun"
"Not Visible Individually","Non visible individuellement"
"Notify Low Stock RSS","Flux RSS de notification de stock bas"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Number of Products per Page","Nombre de produits par page"
"Number of Products to Display","Nombre de produits à afficher"
"Number of Uses","Nombre d'utilisations"
"Number of results","Nombre de résultats"
"Number of results (For the last time placed)","Nombre de résultats (retournés lors de la dernière recherche)"
"OR","OU"
"Old Price:","Ancien prix:"
"On Gesture","Au geste"
"Option:","Option :"
"Options Control","Contrôle des options"
"Options is required","Options est requis"
"Out of Stock","Épuisé"
"Out of stock","Épuisé"
"Page Title Separator","Séparateur de titre de page"
"Parent Category","Catégorie parente"
"Pending","En attente"
"Pending Reviews RSS","Flux RSS des commentaires en attente"
"Percentage","Pourcentage"
"Please add rows to option.","Veuillez ajouter des lignes à l'option"
"Please enter a new group name","Veuillez entrer un nouveau nom de groupe"
"Please select one or more attributes.","Veuillez sélectionner un ou plusieurs attributs"
"Please select products for attributes update","Veuillez sélectionner les produits pour la mise à jour des attributs"
"Please specify date required option(s).","Spécifiez la ou les option(s) de date obligatoire(s)."
"Please specify the number of products, that will not be divided into subintervals.","Spécifiez le nombre de produits qui ne seront pas divisés en sous-intervalles."
"Please specify the quantity of product(s).","Spécifiez la quantité de produit(s)."
"Please specify time required option(s).","Spécifiez la ou les option(s) d'heure obligatoire(s)."
"Please wait...","Veuillez patienter..."
"Position in Layered Navigation","Position dans la navigation par filtres"
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc de navigation par filtres"
"Prev","Précédent"
"Previous","Précédent"
"Price","Prix"
"Price Navigation Step Calculation","Type de calcul des tranches de prix"
"Price Type","Type de prix"
"Price values for options should be specified in system base currency.","Les valeurs de prix pour les options doivent être spécifié dans la devise de base."
"Price:","Prix :"
"Print This Page","Imprimer cette page"
"Product","Produit"
"Product Alerts","Alertes du produit"
"Product Attribute","Attribut du produit"
"Product Attributes","Attributs de produit"
"Product Categories","Catégories du produit"
"Product Description","Description du produit"
"Product Flat Data","Données fixes de produit"
"Product ID","ID de produit"
"Product Image Placeholders","Emplacements de l'image par défaut des produits"
"Product Image Watermarks","Filigranes d'images de produits"
"Product In Websites","Publier dans les sites web"
"Product Info Column","Colonne d'information de produit"
"Product Information","Informations produit"
"Product Link Block Template","Gabarit de lien produit (bloc)"
"Product Link Inline Template","Gabarit de lien produit (en ligne)"
"Product Listing Sort by","Tri des listes de produits"
"Product Name","Nom de produit"
"Product Reviews","Commentaires"
"Product Tags","Libellés du produit"
"Product Type","Type du produit"
"Product URL Suffix","Suffixe d'URL de produit"
"Product is not loaded","Le produit n'est pas chargé"
"Product with this combination of attributes already associated to configurable.","Un produit avec cette combinaison d'attributs est déjà associé à ce produit configurable."
"Products","Produits"
"Products Comparison List","Liste de comparaison de produits"
"Products Information","Informations produits"
"Products Reviews","Avis Produits"
"Products Sitemap","Plan de site des produits"
"Products only","Produits seulement"
"Products per Page on Grid Allowed Values","Valeurs autorisées pour le nombre de produits par page dans l'affichage en grille"
"Products per Page on Grid Default Value","Produits par page dans l'affichage en grille"
"Products per Page on List Allowed Values","Produits par page dans l'affichage en liste"
"Products per Page on List Default Value","Produits par page dans l'affichage en liste par défaut"
"Properties","Propriétés"
"Qty","Qté"
"Qty Increments","Incréments de quantités"
"Qty Uses Decimals","La quantité utilise des décimales"
"Qty:","Qté :"
"Quantity","Quantité"
"Quick Create","Création rapide"
"Quick Overview","Aperçu rapide"
"Quick simple product creation","Création rapide de produit simple"
"Redirect","Rediriger"
"Redirect URL","URL de redirection"
"Regular Price:","Prix normal:"
"Related Products","Produits associés"
"Remove","Supprimer"
"Remove Product From Websites","Supprimer le produit des sites web"
"Remove This Item","Retirer cet élément"
"Reorganize EAV category structure to flat structure","Réorganise la structure de catégorie EAV en une structure fixe"
"Reorganize EAV product structure to flat structure","Réorganise la structure de produit EAV en une structure fixe"
"Reset","Réinitialiser"
"Results","Résultats"
"Reviews","Commentaires"
"Roll Over for preview","Survoler pour avoir un aperçu"
"Root","Racine"
"SKU","REF"
"Save","Sauvegarder"
"Save Attribute","Sauvegarder l'attribut"
"Save Attribute Set","Sauvegarder le groupe d'attributs"
"Save Category","Sauvegarder la catégorie"
"Save Search","Sauvegarder la recherche"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Scope","Portée"
"Search","Chercher"
"Search Engine Optimizations","Optimisations pour les moteurs de recherche"
"Search Information","Informations de recherche"
"Search Query","Termes de recherche"
"Search Weight","Poids dans la recherche"
"Searchable","Utiliser dans la recherche"
"See price before order confirmation.","Voir le prix avant la confirmation de la commande"
"Select Category...","Choisir une catégorie..."
"Select Configurable Attributes ","Sélectionner les attributs configurables"
"Select Product...","Choisir un produit..."
"Select type options required values rows.","Sélectionner les lignes des valeurs obligatoires des options."
"Selected Product Types","Types de produit sélectionnés"
"Send Count","Nombre d'envois"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"Set Name","Nom du groupe"
"Set root category for this store in the <a href=""%s"">configuration</a>","Choisir la catégorie racine pour ce magasin dans la <a href=""%s"">configuration</a>"
"Settings","Paramètres"
"Shop By","Filtrer par"
"Shopping Options","Affiner la recherche"
"Show","Afficher"
"Show Details","Afficher les détails"
"Simple Product","Produit simple"
"Site Map","Plan du site"
"Sitemap","Plan de site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ligne ignorée, la valeur ""%s"" n'est pas valide pour le champ ""%s"""
"Some of the selected item options are not currently available.","Certaines options choisies ne sont pas disponibles pour le moment."
"Sort By","Trier par"
"Sort Order","Ordre de tri""Abandoned Carts"
"Source Model","Modèle source"
"Special Price:","Prix promotionnel:"
"Starting at:","Débute le :"
"Static","Statique"
"Static block and products","Bloc statique et produits"
"Static block only","Bloc statique uniquement"
"Status","Statut"
"Stock Availability","Disponibilité"
"Store","Magasin"
"Store View","Vue magasin"
"Stretch","Étirer"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Super product attributes configuration","Configuration des attributs du super produit"
"Synonym For","Synonyme de"
"System Properties","Propriétés système"
"Tag Name","Nom du libellé"
"Tax","Taxes"
"Template","Gabarit"
"Text","Texte"
"The base directory to upload file is not specified.","Le répertoire de base pour uploader l'image n'est pas spécifié."
"The review was removed by another user or does not exist.","Le commentaire a été supprimé par un autre utilisateur ou n'existe pas."
"There are no %s available.","Aucun(e) %s disponible"
"There are no customers for this alert","Il n'y a aucun client pour cette alerte"
"There are no customers for this alert.","Aucun client pour cette alerte."
"There are no products matching the selection.","Aucun produit ne correspond à la sélection"
"This attribute cannot be edited.","Cet attribut ne peut pas être édité."
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Cet attribut est utilisé dans des produits configurables. Vous ne pouvez pas le retirer de ce jeu d'attributs."
"This attribute no longer exists","Cette attribut n'existe plus"
"This attribute set no longer exists.","Ce jeu d'attributs n'existe plus."
"This group contains system attributes. Please move system attributes to another group and try again.","Ce groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"This search no longer exists.","Cette recherche n'existe plus."
"This setting will be applied when all prices in the specific price interval are equal.","Ce paramétrage s'appliquera lorsque tous les prix seront égaux dans l'intervalle de prix spécifique."
"Tier Pricing","Tarification par palier"
"Tile","Mosaïque"
"Time Format","Format d'heure"
"Title","Titre"
"To see product price, add this item to your cart. You can always remove it later.","Pour voir le prix du produit, ajoutez cet article à votre panier. Vous pourrez toujours l'enlever plus tard."
"Top/Left","En haut à gauche"
"Top/Right","En haut à droite"
"Type","Type "
"URL Rewrite Management","Gestion de réécriture d'URL"
"Unassigned Attributes","Attributs non assignés"
"Up-sells","Ventes incitatives"
"Update","Mettre à jour"
"Update Attributes","Mettre à jour les attributs"
"Update attributes","Modifier les attributs"
"Use Canonical Link Meta Tag For Categories","Utiliser un lien canonique de meta tag pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser un lien canonique de meta tag pour les produits"
"Use Categories Path for Product URLs","Utiliser le chemin des catégories pour l'URL des produits"
"Use Config Settings","Utilisez les paramètres de configuration"
"Use Default Value","Utiliser la valeur par défaut"
"Use Flat Catalog Category","Utiliser le catalogue à plat pour les catégories"
"Use Flat Catalog Product","Utiliser le catalogue à plat pour les produits"
"Use In Layered Navigation","Utiliser dans la navigation par filtres"
"Use JavaScript Calendar","Utiliser le calendrier JavaScript"
"Use To Create Configurable Product","Utiliser pour créer un produit configurable"
"Use config","Utiliser la config"
"Use default","Utilisation par défaut"
"Use for Promo Rule Conditions","Utiliser pour les conditions de règles de promotions"
"Use in Layered Navigation","Utiliser dans la navigation par filtres"
"Used for Sorting in Product Listing","Utiliser pour le tri des listes de produits"
"Used in Product Listing","Utiliser dans les listes de produits"
"View Details","Voir les détails"
"View as","Afficher en"
"Visibility","Visibilité"
"Visible on Catalog Pages on Front-end","Visible sur les pages du magasin"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Watermark","Filigrane"
"Watermark Default Size","Taille par défaut du filigrane"
"Watermark Position","Positionnement du filigrane"
"Website","Site web""%s and greater"
"Websites","Sites web"
"What's this?","Qu'est-ce que c'est ?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Afficher/Masquer l'option ""Tous"" dans le menu déroulant ""Afficher X par page""."
"Year Range","Période annuelle"
"Yes","Oui"
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer cet attribut système de ce groupe"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)"
"You saved the search term.","Vous avez enregistré le terme de recherche."
"Zoom In","Zoom avant"
"Zoom Out","Zoom arrière"
"and","et"
"and above","et plus"
"ex. http://domain.com","Par ex : http://domaine.com"
"per page","par page"
"products","produits"
"save","économisez"
"select all","tout sélectionner"
"unselect all","tout désélectionner"