"* Required Fields","* שדות חובה"
"ALL GROUPS","כל הקבוצות"
"Account Dashboard","חשבון - לוח ניהול"
"Account Information","פרטי חשבון"
"Account Sharing Options","אופציות שיתוף חשבון"
"Action","פעולה"
"Add New Address","הוסף כתובת חדשה"
"Add New Customer","לקוח חדש"
"Add New Customer Group","קבוצת לקוחות חדשה"
"Added From","נוסף מ"
"Additional Address Entries","ערכי כתובות נוספים"
"Address","כתובת"
"Address Book","ספר כתובות"
"Address Information","מידע אודות כתובת"
"Addresses","כתובות"
"Admin","ממשק ניהול"
"All","הכל"
"All Store Views","כל תצוגות החנויות"
"All countries","כל המדינות"
"Amount","סכום"
"Approved","אושרה"
"Are you sure that you want to remove this item?","אתה בטוח שברצונך להסיר פריט זה?"
"Are you sure you want to cancel adding of this address?","האם לבטל את הוספת הכתובת?"
"Are you sure you want to delete this address?","האם אתה בטוח שברצונך למחוק את הכתובת הזו?"
"Are you sure?","האם אתה בטוח?"
"Average Sale","מכירה ממוצעת"
"Back","חזור"
"Back to Login","בחזרה ל'כניסה'"
"Bad request.","בקשה שגויה."
"Bill to Name","שלח חיוב לשם"
"Bought From","נקנה מ"
"By Email","באמצעות דואר אלקטרוני"
"By IP","לפי IP"
"By IP and Email","על-ידי IP ודואר אלקטרוני"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","ביצירת חשבון בחנות זו, תוכל לבצע תשלום בצורה מהירה יותר, להזין מספר כתובות למשלוח, לעקוב אחר הזמנותיך וכו'."
"Cancel","ביטול"
"Change Account Password","שנה סיסמא לחשבון"
"Change Billing Address","שנה כתובת לחיוב"
"Change Password","שינוי סיסמה"
"Change Shipping Address","שנה כתובת למשלוח"
"City","עיר"
"Company","חברה"
"Config","הגדרות"
"Configure","הגדר"
"Confirm New Password","אימות סיסמה חדשה"
"Confirm Password","אימות סיסמה"
"Confirmation Link Email","הודעת קישור לאישור"
"Confirmed","מאושר"
"Contact Information","מידע ליצירת קשר"
"Continue Shopping","המשך בקניות"
"Country","ארץ"
"Create","יצירה"
"Create New Account Options","יצירת חשבון חדש - אפשרויות"
"Create New Customer Account","צור חשבון לקוח חדש"
"Create Order","צור הזמנה"
"Create an Account","יצירת חשבון"
"Create customer","צור לקוח"
"Create customer address","צור כתובת לקוח"
"Current Password","סיסמא נוכחית"
"Customer","לקוח"
"Customer Addresses","כתובות לקוח"
"Customer Configuration","הגדרות הלקוח"
"Customer Group","קבוצת לקוחות"
"Customer Groups","קבוצות לקוחות"
"Customer Information","פרטים על הלקוח"
"Customer Login","כניסת לקוחות"
"Customer Since","לקוח מאז"
"Customer View","תצוגת לקוח"
"Customers","לקוחות"
"Customers Only","לקוחות בלבד"
"Date","תאריך"
"Date Added","תאריך הוספה"
"Date of Birth","תאריך לידה"
"Day","יום"
"Days in Wishlist","ימים ברשימת החלומות"
"Default Addresses","כתובות ברירת מחדל"
"Default Billing Address","כתובת ברירת המחדל לחיוב"
"Default Email Domain","דומיין ברירת מחדל לאימייל"
"Default Group","קבוצת ברירת מחדל"
"Default Shipping Address","כתובת ברירת המחדל למשלוח"
"Default Welcome Email","ברירת מחדל של הודעת ברוכים הבאים"
"Delete","מחק"
"Delete Address","מחק כתובת"
"Delete Customer","מחק לקוח"
"Delete Customer Group","מחק קבוצת לקוחות"
"Delete customer","מחק לקוח"
"Delete customer address","מחק כתובת לקוח"
"Deleted Stores","חנויות שנמחקו"
"Details","פרטים"
"Disabled","לא פעיל"
"Edit","ערוך"
"Edit Account Info","ערוך פרטי חשבון"
"Edit Account Information","עריכת פרטי החשבון"
"Edit Address","ערוך כתובת"
"Edit Address Entry","ערוך רשומת כתובת"
"Edit Customer Group ""%s""","ערוך קבוצת לקוחות ""%s"""
"Edit Customer Groups","ערוך קבוצת לקוחות"
"Edit Customer's Address","ערוך כתובת לקוח"
"Edit Group","ערוך קבוצה"
"Edit Newsletters","ערוך ניוזלטרים"
"Email","דואר אלקטרוני"
"Email Address","כתובת דוא""ל"
"Email Sender","שולח דוא""ל"
"Email:","דואר אלקטרוני:"
"Failed to confirm customer account.","נכשל באימות חשבון לקוח."
"Fax","פקס"
"First Name","שם פרטי"
"Forgot Email Template","תבנית ""שכחתי דוא""ל"""
"Forgot Password","שכחתי סיסמה"
"Forgot Your Password?","שכחת סיסמה?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","מלוח הניהול של החשבון שלך את/ה יכול לצפות בפעילות האחרונה שלך באתר ולעדכן פרטים. אנא בחר לינק מלמטה כדי לצפות/לערוך מידע."
"Gender","מין"
"General Subscription","הרשמה כללית"
"Generate Human-Friendly Customer ID","צור מזהה לקוח ידידותי למשתמש"
"Global","גלובלי"
"Group","קבוצה"
"Group Information","מידע קבוצה"
"Group Name","שם קבוצה"
"Guest","אורח"
"Hello, %s!","שלום, %s!"
"ID","מזהה"
"IP Address","‏כתובת IP"
"If you have an account with us, please log in.","אם הינך משתמש רשום, אנא היכנס."
"Invalid current password","סיסמא נוכחית שגויה"
"Invalid customer data","נתוני לקוח לא תקניים"
"Invalid login or password.","משתמש או סיסמה שגויים."
"Last Activity","פעיל לאחרונה"
"Last Date Subscribed","תאריך אחרון לרישום"
"Last Date Unsubscribed","תאריך אחרון לביטול הרשמה"
"Last Name","שם משפחה"
"Leave empty for default (15 minutes).","השאר ריק עבור ברירת מחדל (15 דקות)."
"Leave empty for default (2). Valid range: 1-4","השאר ריק עבור ברירת מחדל (2). טווח תקין: 1-4"
"Lifetime Sales","מבצע קבוע"
"Log In","התחבר"
"Log Out","התנתק"
"Login","כניסה"
"Login Information","פרטי כניסה"
"Login Options","אפשרויות כניסה"
"Login or Create an Account","היכנס או צור חשבון"
"Manage Addresses","נהל כתובות"
"Manage Customers","ניהול לקוחות"
"Month","חודש"
"My Account","החשבון שלי"
"My Dashboard","ממש הבקרה שלי"
"My Orders","ההזמנות שלי"
"Name","שם"
"Name and Address Options","שם ואפשרויות כתובת"
"Never","לעולם לא"
"New Address","כתובת חדשה"
"New Address Entry","הזנת כתובת חדשה"
"New Customer","לקוח חדש"
"New Customer Address","כתובת לקוח חדשה"
"New Customer Group","קבוצת לקוח חדשה"
"New Customer Groups","קבוצת לקוחות חדשה"
"New Customers","לקוחות חדשים"
"New Group","קבוצה חדשה"
"New Password","סיסמה חדשה"
"New account","חשבון חדש"
"New account confirmation key","מפתח אישור חשבון חדש"
"New account confirmed","חשבון חדש אושר"
"Newsletter","ניוזלטר"
"Newsletter Finish","ניוזלטר - סיום"
"Newsletter Information","מידע ניוזלטר"
"Newsletter Received","ניוזלטר התקבל"
"Newsletter Start","ניוזלטר - התחלה"
"Newsletter Subscription","ניוזלטר - רישום"
"Newsletters","ניוזלטר"
"No Items Found","אין פריטים שנמצאו"
"No Newsletter Found","לא נמצאו הודעות ניוזלטר"
"No item specified.","לא צויין פריט."
"Not Sent","לא נשלח"
"Not confirmed, can login","לא מאושר, יכול להתחבר"
"Not confirmed, cannot login","לא מאושר, לא יכול להתחבר"
"Offline","אוף-ליין"
"Online","און-ליין"
"Online Customers","לקוחות מחוברים"
"Online Customers Options","אפשרויות קונים מקוונים באתר"
"Online Minutes Interval","אפשרויות הפרש דקות."
"Order #","# הזמנה"
"Order Total","סה""כ להזמנה"
"Orders","הזמנות"
"Password","סיסמה"
"Password Management","ניהול סיסמאות"
"Password Options","אפשרויות סיסמה"
"Password forgotten","שכחתי סיסמה"
"Password:","סיסמה:"
"Paused","נעצר"
"Pending","ממתינה"
"Per Website","לפי אתר"
"Personal Information","פרטים אישיים"
"Please enter a number 1 or greater in this field.","אנא הזן מספר 1 או גדול יותר בשדה זה."
"Please enter the city.","אנא הזינו עיר."
"Please enter the country.","אנא הזינו מדינה."
"Please enter the first name.","אנא הזן את השם הפרטי."
"Please enter the last name.","אנא הזן את שם המשפחה."
"Please enter the state/province.","אנא הזינו מדינה/מחוז."
"Please enter the street.","אנא הזינו רחוב."
"Please enter the zip/postal code.","אנא הזינו מיקוד."
"Please enter your email below and we'll send you confirmation link for it.","אנא, הזאת את הכתובת שלך ואנחנו נשלח לך קישור אישור הרשמה."
"Please enter your email.","נא הזן את כתובת הדואר האלקטרוני שלך."
"Please make sure your passwords match.","נא ודא שהסיסמאות שלך תואמות."
"Please select region, state or province","נא בחר מדינה, אזור או מחוז"
"Price","מחיר"
"Product","מוצר"
"Product ID","מזהה מוצר"
"Product Name","שם מוצר"
"Product Reviews","חוות דעת מוצרים"
"Product Tags","תגיות מוצר"
"Purchase On","קנה בתאריך/קנה ב"
"Purchased On","נקנה בתאריך/נקנה ב"
"Qty","כמות"
"Recent Orders","הזמנות האחרונות"
"Recovery Link Expiration Period (hours)","קישור שחזור התפוגה (שעות)"
"Refunded","זוכה"
"Register","הירשם"
"Registered Customers","לקוחות רשומים"
"Remind Email Template","תבנית תזכורת דוא""ל"
"Remove","הסר"
"Require Emails Confirmation","דרוש אישור הודעות דואר אלקטרוני"
"Reset a Password","איפוס סיסמה"
"Retrieve address data","אחזר פרטי כתובת"
"Retrieve address info","אחזר מידע כתובת"
"Retrieve customer addresses","אחזר כתובת לקוח"
"Retrieve customer data","אחזר מידע לקוח"
"Retrieve customers","אחזר לקוחות"
"Retrieve your confirmation link here","אחזר את קישור האישור שלך כאן"
"Retrieve your password here","שחזר סיסמא כאן"
"SKU","מק''ט"
"Sales Statistics","סטטיסטיקת מכירות"
"Save","שמור"
"Save Address","שמור כתובת"
"Save Customer","שמור לקוח"
"Save Customer Group","שמור קבוצת לקוחות"
"Save Password","שמור סיסמא"
"Save and Continue Edit","שמור והמשך בעריכה"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","נקודה פסיק (;) ערכים מופרדים.<br/>הכנס נקודה פסיק בכדי לשאיר אפשרות ראשונה ריקה.<br/>השאר ריק לדה טקסט ריק."
"Send From","שלח טופס"
"Send Welcome Email after Confirmation","שלח דוא""ל ברכה אחרי אישור"
"Send confirmation link","שלח קישור לאימות"
"Sending","שולח"
"Sent","נשלח"
"Session Start Time","זמן תחילת פגישה"
"Set as Default Billing Address","קבע כברירת מחדל לכתובת חיוב"
"Set as Default Shipping Address","קבע ככתובת ברירת מחדל לשילוח"
"Share Customer Accounts","שיתוף חשבונות לקוח"
"Shipped to First Name","נשלח אל - שם פרטי"
"Shipped to Last Name","נשלח אל - שם משפחה"
"Shipped to Name","נשלח אל - שם"
"Shopping Cart","עגלת קניות"
"Shopping Cart - %d item(s)","עגלת קניות - %d פריט(ים)"
"Show Prefix","הצג קידומת"
"Sign Up for Newsletter","הרשמה לניוזלטר"
"State/Province","מדינה/מחוז"
"Status","סטטוס"
"Store","חנות"
"Store View","תצוגת חנות"
"Street Address","כתובת רחוב"
"Subject","נושא"
"Submit","שליחה"
"Subscribe to Newsletter","הירשם לעדכונים"
"Subscribed to Newsletter?","הרשמה לניוזלטר?"
"Tag Name","שם תג"
"Tax Class","מחלקת/מדרגת מס"
"Tax/VAT number","מספר מס/מעמ"
"Telephone","טלפון"
"Text","טקסט"
"Text One Line","טקסט - שורה אחת"
"The VAT ID entered (%s) is not a valid VAT ID.","מזהה מע״מ נכנס (%s) אינה מזהה מע״מ חוקי."
"The VAT ID is valid. The current Customer Group will be used.","מזהה מע""מ בתוקף לקבוצת הלקוחות הנוכחית."
"The customer does not have default billing address.","אין ללקוח כתובת חיוב ברירת מחדל."
"The suffix that goes after name (Jr., Sr., etc.)","הסיומת שמופיע לאחר השם  (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","התואר שמגיע לפני השם (מר., גברת., וכו')"
"There are no items in customer's wishlist at the moment","אין פריטים ברשימת החלומות של הלקוח בשלב זה"
"There are no items in customer's shopping cart at the moment","אין פריטים בעגלת הקניות של הקלוח"
"This account is not confirmed.","החשבון לא מאושר"
"This customer has no saved addresses.","ללקוח זה אין כתובות שמורות."
"This email does not require confirmation.","האימייל הזה אינו מחייב אישור."
"To Cart","לסל הקניות"
"Total","סה""כ"
"Type","סוג"
"Unknown","לא ידועה"
"Update","עדכן"
"Update customer address data","עדכן נתוני כתובת לקוח"
"Update customer data","עדכן נתוני לקוח"
"Use as my default billing address","קבע ככתובת ברירת המחדל לחיוב"
"Use as my default shipping address","קבע ככתובת ברירת המחדל למשלוח"
"VAT Number","מספר המע""מ"
"Validate VAT Number","אימות מספר מע״מ"
"Validate on Each Transaction","אמת בכל עסקה"
"View","הצגה"
"View Order","	הצג הזמנה"
"Visitor","אורח"
"Visitors Only","אורחים בלבד"
"Website","אתר"
"Welcome Email","דוא""ל ברוכים הבאים"
"Wishlist","מועדפים"
"Wishlist - %d item(s)","רשימת חלומות - %d פריט(ים)"
"Would you like to change the Customer Group for this order?","תרצה לשנות את קבוצת הלקוחות להזמנה זו?"
"Wrong confirmation key.","מפתח אישור שגוי"
"Wrong customer account specified.","צוין חשבון לקוח שגוי"
"Wrong email.","הדוא""ל שגוי."
"Year","שנה"
"You are currently not subscribed to any newsletter.","כרגע אינך מנוי לאף ניוזלטר."
"You are currently subscribed to 'General Subscription'.","כרגע אתה רשום בתור ,'רישום כללי'"
"You are currently subscribed to our newsletter.","הרישום לניוזלטר שלנו בוצע בהצלחה."
"You have no additional address entries in your address book.","אין לך כתובות נוספות בספר הכתובות שלך."
"You have no additional entries in your address book.","אין לך רשומות נוספות בספר הכתובות שלך."
"You have no default billing address in your address book.","אין לך כתובת ברירת המחדל לחיוב."
"You have no default shipping address in your address book.","אין לך כתובת ברירת מחדל למשלוח בספר הכתובות."
"You have not set a default billing address.","אין לך כתובת ברירת מחדל לתשלום."
"You have not set a default shipping address.","לא הוגדרה כתובת ברירת מחדל לשילוח."
"You have placed no orders yet.","עדיין לא בוצעה שום הזמנה."
"You have placed no products yet.","עדיין לא בוצעה שום הזמנת מוצרים."
"You will be charged tax.","אתה תחוייב במס."
"You will not be charged tax.","אתה לא תחויב במס."
"Your Tax ID cannot be validated.","אין אפשרות לאמת את תעודת הזהות של המס שלך."
"Your VAT ID was successfully validated.","תעודה מזהה עבור המע״מ אומתה בהצלחה."
"Your account balance is: %s","המאזן לחשבונך: <strong>%s</strong>"
"ZIP","קובץ זיפ"
"ZIP/Post Code","מיקוד/ת.ד."
"Zip/Postal Code","מיקוד"
"n/a","לא זמין"
"or","או"