" Copy","コピー"
"Action","アクション"
"Add New Template","新しいテンプレートの追加"
"Add to Queue","キューに追加"
"Allow Guest Subscription","ゲスト購読を許可する"
"Are you sure that you want to delete this template?","このテンプレートを削除してもいいですか？"
"Are you sure that you want to strip all tags?","タグを全て除去してもよろしいですか？"
"Back","戻る"
"Cancel","キャンセル"
"Cancelled","キャンセル済"
"Confirmation Email Sender","確認メール送信者"
"Confirmation Email Template","確認メールテンプレート"
"Convert to Plain Text","プレーンテキストに変換"
"Create Newsletter Template","新しいメールテンプレートを作成"
"Customer","顧客"
"Customer First Name","顧客名"
"Customer Last Name","顧客姓"
"Date Added","登録日"
"Date Updated","更新日"
"Delete","削除"
"Delete Selected Problems","選択した問題を削除する"
"Delete Template","テンプレートの削除"
"Do you really want to cancel the queue?","キューをキャンセルしてもよろしいですか？"
"Edit Newsletter","ニュースレターの編集"
"Edit Newsletter Template","ニュースレターテンプレートの編集"
"Edit Queue","キューを編集"
"Edit Template","テンプレートの編集"
"Email","Eメール"
"Enter your email address","メールアドレスを入力してください"
"Error Code","エラーコード"
"Error Text","エラーテキスト"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","購読解除するにはこのリンクを辿って下さい<!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","ゲスト様"
"Message","メッセージ"
"Need to Confirm","確認が必要"
"New Newsletter Template","新規ニュースレターテンプレート"
"New Template","新規テンプレート"
"Newsletter","ニュースレター"
"Newsletter Message Preview","ニュースレタープレビュー"
"Newsletter Problem Reports","ニュースレター問題報告"
"Newsletter Queue","ニュースレターキュー"
"Newsletter Section","ニュースレターセクション"
"Newsletter Styles","ニュースレター形式"
"Newsletter Subscribers","ニュースレター購読者"
"Newsletter Subscription","ニュースレター購読"
"Newsletter Subscriptions","ニュースレター購読"
"Newsletter Templates","ニュースレターテンプレート"
"Newsletter subscription confirmation","ニュースレター購読確認"
"Newsletter subscription success","ニュースレター購読の成功"
"Newsletter unsubscription success","ニュースレターの登録解除の成功"
"No Templates Found","テンプレートが見つかりませんでした"
"Not Activated","未アクティブ"
"Not Sent","未送信"
"Pause","ポーズ"
"Paused","ポーズ"
"Please enter a valid email address.","正しいメールアドレスを入力してください。"
"Please enter new template name","新しいテンプレート名を入力してください"
"Please select subscriber(s)","購読者を選択してください"
"Preview","プレビュー"
"Preview Template","テンプレートのプレビュー"
"Processed","処理完了"
"Queue Date Start","キュー開始日"
"Queue Finish","キュー終了日"
"Queue Information","キュー情報"
"Queue Start","キュー開始"
"Queue Subject","キュータイトル"
"Recipients","受取人"
"Reset","リセット"
"Resume","レジューム"
"Return HTML Version","HTMLバージョン"
"Save As","名前をつけて保存"
"Save Newsletter","ニュースレターの保存"
"Save Template","テンプレートの保存"
"Save and Resume","保存して続ける"
"Sender","送り主"
"Sender Email","送信者メールアドレス"
"Sender Name","送信者名"
"Sending","送信中"
"Sent","送信済"
"Sign Up for Our Newsletter:","ニュースレターをご購読ください:"
"Sign up for our newsletter","メールマガジンを購読する"
"Start","開始"
"Status","ステータス"
"Store","店舗"
"Store View","ストアビュー"
"Subject","件名"
"Submit","送信"
"Subscribe","購読"
"Subscribed","購読済"
"Subscriber","購読者"
"Subscribers","購読者"
"Subscribers From","購読者"
"Subscription Options","購読オプション"
"Success Email Sender","成功メール送信者"
"Success Email Template","成功メールテンプレート"
"Template Content","テンプレートコンテンツ"
"Template Information","テンプレート情報"
"Template Name","テンプレート名"
"Template Styles","テンプレートスタイル"
"Template Subject","テンプレート件名"
"Template Type","テンプレートタイプ"
"Thank you for your subscription.","ご購読ありがとうございます。"
"There was a problem with the subscription: %s","購読に問題があります: %s"
"There was a problem with the un-subscription.","購読解除中に問題がありました。"
"This email address is already assigned to another user.","このメールアドレスは既に使用されています。"
"Type","種別"
"Unconfirmed","未確認"
"Unsubscribe","購読解除"
"Unsubscribe Selected","未購読を選択しました"
"Unsubscribed","購読解除"
"Unsubscription Email Sender","購読解除メール送信者"
"Unsubscription Email Template","購読解除メールテンプレート"
"View Newsletter","ニュースレターを見る"
"Website","ウェブサイト"
"Your subscription has been confirmed.","ニュースレター購読登録を完了しました。"