"-- Please Select --","-- Ве молиме изберете --"
"Add New Class","Додади нова класа"
"Add New Tax Rate","Додади нова даночна стапка"
"Add New Tax Rule","Додади ново даночно правило"
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направете ова?"
"Back","Назад"
"Class Name","Име на класата"
"Code","Код"
"Country","Држава"
"Delete Class","Избриши ја класата"
"Delete Rate","Избриши ја стапката"
"Display Subtotal","Прикажи вкупно"
"Edit Class","Измени класа"
"Edit Class '%s'","Измени ја класата '%s'"
"Edit Tax Rate","Измени даночна стапка"
"Excl. Tax","Без ДДВ"
"Excluding Tax","Без данок"
"Export Tax Rates","Извези даночни стапки"
"Grand Total (Excl. Tax)","Вкупно (без ДДВ)"
"Grand Total (Excl.Tax)","Вкупно (без ДДВ)"
"Grand Total (Incl. Tax)","Вкупно (со ДДВ)"
"Grand Total (Incl.Tax)","Вкупно (со ДДВ)"
"Grand Total Excl. Tax","Вкупно без ДДВ"
"Grand Total Incl. Tax","Вкупно со ДДВ"
"Import / Export Tax Rates","Увези / Извези даночни стапки"
"Import Tax Rates","Увези даночни стапки"
"Inc. Tax","Со ДДВ"
"Incl. Tax","Со ДДВ"
"Including Tax","Со данок"
"Invalid file format upload attempt","Невалиден формат на датотеката за качување"
"Invalid file upload attempt","Невалиден обид за качување на датотека"
"Manage Customer Tax Classes","Менаџирај ги даночните класи на купувачите"
"Manage Product Tax Classes","Менаџирај ги даночните класи на производите"
"Manage Tax Rates","Менаџирај ги даночните стапки"
"Manage Tax Rules","Менаџирај ги даночните правила"
"Name","Име"
"New Class","Нова класа"
"New Tax Rate","Нова даночна стапка"
"No","Не"
"None","Нема"
"Priority","Приоритет"
"Product Tax Classes","Даночни класи на производите"
"Reset","Ресетирај"
"Save Class","Зачувај класа"
"Save Rate","Зачувај стапка"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Shipping & Handling (Excl.Tax)","Испорака & Достава (без ДДВ)"
"Shipping & Handling (Incl.Tax)","Испорака & Достава (со ДДВ)"
"State","Држава"
"State/Region","Држава/Регион"
"Subtotal (Excl. Tax)","Вкупно (без ДДВ)"
"Subtotal (Excl.Tax)","Вкупно (без ДДВ)"
"Subtotal (Incl. Tax)","Вкупно (со ДДВ)"
"Subtotal (Incl.Tax)","Вкупно (со ДДВ)"
"Tax","Данок"
"Tax Rate","Даночна стапка"
"Tax Rate Information","Информации за даночната стапка"
"Tax Rule Information","Информации за даночното правило"
"Tax Rules","Даночни правила"
"This class no longer exists","Оваа класа повеќе не постои"
"This rule no longer exists.","Правилото повеќе не постои."
"Total","Вкупно"
"Yes","Да"
"Zip/Post Code","Поштенски код"