"10 minutes","10 минут"
"15 minutes","15 минут"
"20 minutes","20 минут"
"30 minutes","30 минут"
"5 minutes","5 минут"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Планировщик задач) - всё время указано в минутах"
"Daily","Ежедневно"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Для генерации правильных адресов во время работы задачи убедитесь, что установлены базовые адреса (URLs) для безопасного и небезопасного соединений."
"Generate Schedules Every","Генерировать расписание каждые"
"History Cleanup Every","Очистка журнала каждые"
"Hourly","Каждый час"
"Invalid callback: %s::%s does not exist","Неверный обратный вызов (callback): %s::%s не существует"
"Invalid model/method definition, expecting ""model/class::method"".","Неверное определение метода модели (model/method), ожидается ""model/class::method""."
"Monthly","Ежемесячно"
"No callbacks found","Обратные вызовы отсутствуют"
"Weekly","Еженедельно"