"Account Information","Информације о корисничком налогу"
"Action","Радња"
"All","Svi(е)"
"All Store Views","Прегледи свих продавница"
"Are you sure?","Јесте ли сигурни?"
"Back","Назад"
"Cancel","Одустани"
"Configure","Конфигуриши"
"Create Order","Направити наруџбину"
"Customer","Купац"
"Customer Groups","Групе купаца"
"Customer View","Приказ купца"
"Customers","Купци"
"Date Added","Датум додавања"
"Day","Дан"
"Delete","Обриши"
"Details","Детаљи"
"Disabled","Онемогућено"
"Edit","Ажурирај"
"Email","Е-пошта"
"First Name","Име"
"Guest","Гост"
"ID","ИД"
"Last Name","Презиме"
"Lifetime Sales","Трајна продаја"
"Month","Месец"
"My Account","Мој Налог"
"Name","Име"
"New Customers","Нови купци"
"New Password","Нова лозинка"
"No item specified.","Ни један није изабран."
"Orders","Поруџбине"
"Password","Лозинка"
"Price","Цена"
"Product","Производ"
"Qty","Количина"
"Remove","Уклони"
"SKU","Шифра"
"Save","Сачувај"
"Save and Continue Edit","Сачувај и настави уређивање"
"Shopping Cart","Листа артикала за куповину"
"Status","Статус"
"Store","Продавница"
"Submit","Пошаљи"
"Total","Укупно"
"View Order","Приказ наруџбине"
"Wishlist","Листа жеља"
"Year","Година"